fold,metric,value,nz,d_dim,lr,lr_adv,lam,batch_size,TX_drug_feat_data_test,TX_drug_adj_data_test,TX_gexpr_data_test,TY_test
0,auc_val,0.5543514644351465,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.5743791609503376,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.601429616408696,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.5979774680498203,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.5961131755274014,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6065213771857301,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6162211428738625,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6180605862078976,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.615156976914299,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6256537727394911,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6109120168534394,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6190488796560514,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6147414928168066,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6263772559471501,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6091617169441438,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6258476943730964,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6374889545600844,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6276808782241887,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6275934107733272,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6241339973511673,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.624796793164994,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_TEST,0.6315659438172977,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
0,auc_val,0.6209638060684085,100,100,0.0001,0.0001,1.0,"[128, 14]",cuda:0,cuda:0,cuda:0,cuda:0
