Iteration,Accuracy,AUC,F1,Recall,Precision
0,0.6906906906906907,0.7450559171036836,0.6916167664670659,0.7151702786377709,0.6695652173913044
1,0.6786786786786787,0.6948162723736111,0.6737804878048781,0.6842105263157895,0.6636636636636637
2,0.6501501501501501,0.6961611712354114,0.6588579795021963,0.6965944272445821,0.625
3,0.7027027027027027,0.7492440585256659,0.6857142857142856,0.6687306501547987,0.7035830618892508
4,0.6861861861861862,0.7283304299163276,0.7001434720229555,0.7554179566563467,0.6524064171122995
5,0.6561561561561562,0.6824323714448185,0.6264274061990212,0.5944272445820433,0.6620689655172414
6,0.6681681681681682,0.7078590834830173,0.6625954198473283,0.6718266253869969,0.6536144578313253
7,0.6636636636636637,0.7109099278809268,0.7005347593582887,0.8111455108359134,0.6164705882352941
8,0.6651651651651652,0.7229057036348374,0.6881118881118881,0.7616099071207431,0.6275510204081632
9,0.7087087087087087,0.7244943090017962,0.7069486404833837,0.7244582043343654,0.6902654867256637
10,0.6711711711711712,0.7207213712552689,0.6830680173661361,0.7306501547987616,0.6413043478260869
11,0.6546546546546547,0.6836238254700375,0.6525679758308157,0.6687306501547987,0.6371681415929203
12,0.6981981981981982,0.7420953343743513,0.6854460093896714,0.6780185758513931,0.6930379746835443
