Fold,Test_AUC,params,end_epoch,Best_params,Best_epoch
0,0.810218762053672,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.001, 'batch_size': [128, 14]}",44.0
1,0.8207744677758712,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.001, 'batch_size': [128, 14]}",59.0
2,0.8183075015558245,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.001, 'batch_size': [128, 14]}",58.0
3,0.8188754634066256,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.001, 'batch_size': [128, 14]}",60.0
4,0.8224871429716821,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.001, 'batch_size': [128, 14]}",55.0
0,0.8206686588152708,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.001, 'batch_size': [256, 28]}",77.0
1,0.8249244041779016,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.001, 'batch_size': [256, 28]}",123.0
2,0.8309689445973756,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.001, 'batch_size': [256, 28]}",92.0
3,0.8304625953061824,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.001, 'batch_size': [256, 28]}",99.0
4,0.8210418106361126,,,"{'nz': 256, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.001, 'batch_size': [256, 28]}",62.0
0,0.832233094439874,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.0001, 'batch_size': [128, 14]}",73.0
1,0.8263181073262585,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.0001, 'batch_size': [128, 14]}",80.0
2,0.8393377055501892,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.0001, 'batch_size': [128, 14]}",93.0
3,0.8281307866172367,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.0001, 'batch_size': [128, 14]}",58.0
4,0.8320282892802737,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.0001, 'batch_size': [128, 14]}",65.0
0,0.8315576689655267,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.0001, 'batch_size': [256, 28]}",53.0
1,0.8311259313841151,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.0001, 'batch_size': [256, 28]}",59.0
2,0.8328153455839401,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.0001, 'batch_size': [256, 28]}",57.0
3,0.8285028386638618,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.0001, 'batch_size': [256, 28]}",55.0
4,0.8293621214955769,,,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.0001, 'batch_size': [256, 28]}",45.0
0,0.8302857191165885,,,"{'nz': 256, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.0001, 'batch_size': [256, 28]}",96.0
