2025-04-07 16:30:36,150 INFO    MainThread:995899 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /mnt/W-PANCDR/src/wandb/run-20250407_163036-h6y98txx/logs/debug.log
2025-04-07 16:30:36,151 INFO    MainThread:995899 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /mnt/W-PANCDR/src/wandb/run-20250407_163036-h6y98txx/logs/debug-internal.log
2025-04-07 16:30:36,151 INFO    MainThread:995899 [wandb_init.py:init():781] calling init triggers
2025-04-07 16:30:36,151 INFO    MainThread:995899 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14], '_wandb': {}}
2025-04-07 16:30:36,151 INFO    MainThread:995899 [wandb_init.py:init():809] starting backend
2025-04-07 16:30:36,151 INFO    MainThread:995899 [wandb_init.py:init():813] sending inform_init request
2025-04-07 16:30:36,151 INFO    MainThread:995899 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-07 16:30:36,151 INFO    MainThread:995899 [wandb_init.py:init():823] backend started and connected
2025-04-07 16:30:36,152 INFO    MainThread:995899 [wandb_init.py:init():915] updated telemetry
2025-04-07 16:30:36,535 INFO    MainThread:995899 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-07 16:30:36,962 INFO    MainThread:995899 [wandb_init.py:init():1014] starting run threads in backend
2025-04-07 16:30:37,053 INFO    MainThread:995899 [wandb_run.py:_console_start():2454] atexit reg
2025-04-07 16:30:37,054 INFO    MainThread:995899 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-07 16:30:37,054 INFO    MainThread:995899 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-07 16:30:37,054 INFO    MainThread:995899 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-07 16:30:37,055 INFO    MainThread:995899 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-07 16:35:15,466 INFO    MainThread:995899 [wandb_run.py:_finish():2189] finishing run hj_ai/W-PANCDR_training/h6y98txx
2025-04-07 16:35:15,466 INFO    MainThread:995899 [wandb_run.py:_atexit_cleanup():2419] got exitcode: 0
2025-04-07 16:35:15,466 INFO    MainThread:995899 [wandb_run.py:_restore():2401] restore
2025-04-07 16:35:15,466 INFO    MainThread:995899 [wandb_run.py:_restore():2407] restore done
2025-04-07 16:35:16,947 INFO    MainThread:995899 [wandb_run.py:_footer_history_summary_info():4064] rendering history
2025-04-07 16:35:16,947 INFO    MainThread:995899 [wandb_run.py:_footer_history_summary_info():4096] rendering summary
2025-04-07 16:35:16,948 INFO    MainThread:995899 [wandb_run.py:_footer_sync_info():4025] logging synced files
