2025-04-07 16:39:08,251 INFO    MainThread:951111 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /mnt/W-PANCDR/src/wandb/run-20250407_163908-u1c2v58w/logs/debug.log
2025-04-07 16:39:08,252 INFO    MainThread:951111 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /mnt/W-PANCDR/src/wandb/run-20250407_163908-u1c2v58w/logs/debug-internal.log
2025-04-07 16:39:08,252 INFO    MainThread:951111 [wandb_init.py:init():781] calling init triggers
2025-04-07 16:39:08,252 INFO    MainThread:951111 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'nz': 100, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28], '_wandb': {}}
2025-04-07 16:39:08,252 INFO    MainThread:951111 [wandb_init.py:init():809] starting backend
2025-04-07 16:39:08,252 INFO    MainThread:951111 [wandb_init.py:init():813] sending inform_init request
2025-04-07 16:39:08,252 INFO    MainThread:951111 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-07 16:39:08,252 INFO    MainThread:951111 [wandb_init.py:init():823] backend started and connected
2025-04-07 16:39:08,253 INFO    MainThread:951111 [wandb_init.py:init():915] updated telemetry
2025-04-07 16:39:08,615 INFO    MainThread:951111 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-07 16:39:09,054 INFO    MainThread:951111 [wandb_init.py:init():1014] starting run threads in backend
2025-04-07 16:39:09,153 INFO    MainThread:951111 [wandb_run.py:_console_start():2454] atexit reg
2025-04-07 16:39:09,154 INFO    MainThread:951111 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-07 16:39:09,154 INFO    MainThread:951111 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-07 16:39:09,154 INFO    MainThread:951111 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-07 16:39:09,155 INFO    MainThread:951111 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-07 16:40:40,708 INFO    MainThread:951111 [wandb_run.py:_finish():2189] finishing run hj_ai/W-PANCDR_5Crictic_training/u1c2v58w
2025-04-07 16:40:40,708 INFO    MainThread:951111 [wandb_run.py:_atexit_cleanup():2419] got exitcode: 0
2025-04-07 16:40:40,708 INFO    MainThread:951111 [wandb_run.py:_restore():2401] restore
2025-04-07 16:40:40,708 INFO    MainThread:951111 [wandb_run.py:_restore():2407] restore done
2025-04-07 16:40:42,240 INFO    MainThread:951111 [wandb_run.py:_footer_history_summary_info():4064] rendering history
2025-04-07 16:40:42,241 INFO    MainThread:951111 [wandb_run.py:_footer_history_summary_info():4096] rendering summary
2025-04-07 16:40:42,241 INFO    MainThread:951111 [wandb_run.py:_footer_sync_info():4025] logging synced files
